,region,customer_lifetime_value,response,coverage,education,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
3987,west region,14382,no,extended,college,jan,employed,m,52174,urban,married,121,22,25,0,2,personal auto,personal l2,offer1,call center,suv,medsize
3988,north west,15519,no,extended,high school or below,jan,medical leave,m,23402,suburban,divorced,82,3,28,0,2,personal auto,personal l3,offer3,agent,two-door car,medsize
3989,west region,12168,yes,basic,bachelor,feb,retired,m,14973,suburban,divorced,115,2,75,0,2,personal auto,personal l2,offer1,branch,suv,medsize
3990,central,14970,no,extended,high school or below,jan,employed,m,85297,suburban,married,93,7,91,0,2,special auto,special l3,offer2,branch,two-door car,small
3991,east,4386,yes,basic,college,feb,retired,m,10621,suburban,single,67,28,22,0,5,personal auto,personal l3,offer1,agent,four-door car,medsize
3992,north west,2378,no,basic,bachelor,jan,unemployed,m,27690,suburban,single,70,35,74,0,1,personal auto,personal l3,offer1,branch,four-door car,small
3993,east,5348,no,basic,bachelor,jan,employed,m,31572,urban,married,70,14,95,3,3,personal auto,personal l2,offer2,call center,four-door car,medsize
3994,central,2701,no,basic,high school or below,jan,employed,f,76310,suburban,married,67,1,33,0,1,personal auto,personal l3,offer4,branch,two-door car,medsize
3995,central,8324,no,extended,high school or below,jan,unemployed,m,11933,suburban,single,121,11,92,0,5,corporate auto,corporate l3,offer2,branch,sports car,medsize
3996,central,8207,no,premium,college,jan,employed,m,35349,suburban,married,102,7,2,0,4,personal auto,personal l3,offer1,web,four-door car,medsize
3997,east,2215,no,basic,college,jan,unemployed,m,28560,suburban,single,66,31,14,0,1,personal auto,personal l2,offer3,branch,two-door car,medsize
3998,north west,4627,no,extended,college,jan,medical leave,f,29124,suburban,married,129,15,41,4,1,personal auto,personal l2,offer1,call center,suv,medsize
3999,north west,19088,no,basic,college,jan,employed,f,32775,urban,divorced,61,10,73,0,2,personal auto,personal l1,offer1,branch,four-door car,small
4000,north west,8692,no,basic,high school or below,jan,employed,f,97768,rural,divorced,72,2,14,1,2,personal auto,personal l1,offer3,agent,two-door car,medsize
4001,central,2574,yes,basic,master,jan,employed,f,34990,rural,single,65,23,73,0,1,personal auto,personal l3,offer2,web,four-door car,medsize
4002,west region,7685,no,premium,high school or below,jan,unemployed,m,72212,suburban,single,111,22,95,0,3,corporate auto,corporate l3,offer3,branch,four-door car,large
4003,west region,2302,no,basic,college,feb,unemployed,f,51816,suburban,single,63,13,48,0,1,corporate auto,corporate l2,offer3,web,four-door car,large
4004,west region,6412,no,extended,bachelor,jan,employed,m,58776,suburban,divorced,83,20,50,2,4,personal auto,personal l3,offer3,branch,four-door car,medsize
4005,central,9414,no,extended,high school or below,jan,retired,m,15741,suburban,divorced,132,14,4,0,4,special auto,special l1,offer3,web,suv,medsize
4006,north west,16138,no,basic,master,feb,employed,f,79041,rural,married,199,14,48,0,3,personal auto,personal l3,offer2,branch,luxury suv,small
4007,central,8204,no,basic,high school or below,jan,unemployed,f,18816,suburban,married,73,9,14,0,2,personal auto,personal l2,offer1,agent,four-door car,medsize
4008,west region,5103,no,basic,bachelor,jan,employed,m,74948,urban,married,64,23,43,0,8,corporate auto,corporate l3,offer3,call center,four-door car,medsize
4009,central,16473,yes,basic,bachelor,feb,retired,m,22828,suburban,married,106,11,54,0,2,personal auto,personal l2,offer1,agent,luxury suv,small
4010,north west,4408,no,basic,college,feb,employed,m,80640,urban,married,111,2,84,0,1,personal auto,personal l3,offer2,web,suv,medsize
4011,central,23207,no,basic,master,feb,employed,f,89918,urban,divorced,115,28,42,0,2,personal auto,personal l3,offer4,web,suv,medsize
4012,west region,5257,no,basic,high school or below,jan,employed,m,56154,suburban,single,67,14,26,0,4,personal auto,personal l3,offer3,web,two-door car,small
4013,east,4896,no,basic,college,jan,unemployed,f,31696,suburban,single,71,9,6,0,3,personal auto,personal l3,offer2,agent,four-door car,large
4014,north west,7984,no,basic,high school or below,feb,unemployed,f,74521,suburban,single,72,1,77,0,2,personal auto,personal l3,offer2,call center,two-door car,large
4015,central,8150,no,premium,bachelor,jan,unemployed,m,57992,suburban,single,114,11,20,0,3,personal auto,personal l2,offer2,branch,four-door car,small
4016,west region,2420,no,basic,bachelor,feb,employed,m,31710,urban,divorced,62,5,29,0,1,corporate auto,corporate l3,offer1,call center,two-door car,medsize
4017,central,2725,no,basic,high school or below,jan,employed,f,45025,suburban,married,69,35,85,1,1,personal auto,personal l2,offer1,agent,four-door car,medsize
4018,west region,15014,no,premium,college,jan,employed,m,32961,suburban,married,190,6,53,1,3,corporate auto,corporate l2,offer1,branch,suv,small
4019,west region,5704,no,basic,master,jan,employed,f,37675,suburban,single,71,25,80,0,3,personal auto,personal l2,offer1,agent,four-door car,medsize
4020,west region,4773,no,basic,bachelor,feb,employed,f,27725,suburban,married,63,1,93,4,4,personal auto,personal l1,offer1,branch,four-door car,medsize
4021,west region,6672,no,premium,college,jan,employed,f,50537,rural,married,165,10,35,0,1,personal auto,personal l3,offer1,branch,four-door car,medsize
4022,central,4462,yes,basic,bachelor,jan,unemployed,f,51988,suburban,single,73,35,52,3,5,personal auto,personal l3,offer1,web,two-door car,medsize
4023,west region,17526,no,extended,bachelor,jan,employed,f,52228,suburban,married,220,29,72,1,8,personal auto,personal l3,offer3,agent,luxury suv,medsize
4024,central,2620,no,basic,master,feb,employed,f,39278,rural,divorced,66,29,45,0,1,personal auto,personal l2,offer4,branch,four-door car,medsize
4025,west region,8509,yes,basic,master,jan,disabled,m,26057,suburban,divorced,74,16,63,1,2,personal auto,personal l2,offer1,call center,four-door car,small
4026,west region,3242,no,extended,master,feb,employed,f,72330,rural,married,81,2,50,2,1,personal auto,personal l3,offer2,call center,four-door car,small
4027,west region,11315,yes,premium,bachelor,feb,disabled,f,11885,suburban,divorced,101,18,39,0,2,personal auto,personal l2,offer1,agent,four-door car,medsize
4028,west region,2347,no,basic,college,feb,employed,m,31617,urban,single,62,17,29,1,1,personal auto,personal l1,offer1,agent,four-door car,small
4029,west region,5412,no,extended,college,jan,unemployed,m,79334,suburban,single,80,8,44,0,3,personal auto,personal l3,offer2,agent,four-door car,small
4030,central,26763,no,basic,high school or below,jan,employed,m,84178,rural,divorced,74,34,80,0,2,personal auto,personal l3,offer2,call center,two-door car,medsize
4031,west region,9406,no,basic,high school or below,feb,employed,f,99189,rural,single,117,27,27,0,3,corporate auto,corporate l3,offer3,web,suv,medsize
4032,west region,2596,no,basic,high school or below,feb,unemployed,f,70427,suburban,single,72,3,65,0,1,personal auto,personal l3,offer1,agent,two-door car,medsize
4033,west region,5493,no,basic,college,jan,employed,f,44369,urban,married,68,13,22,0,8,personal auto,personal l3,offer4,call center,four-door car,medsize
4034,central,8788,no,basic,high school or below,jan,employed,m,91171,suburban,married,110,3,64,0,8,personal auto,personal l2,offer2,agent,suv,medsize
4035,central,2612,no,basic,college,jan,employed,m,37073,suburban,married,66,16,35,0,1,personal auto,personal l3,offer2,branch,four-door car,medsize
4036,west region,4788,no,basic,high school or below,feb,unemployed,f,44040,suburban,married,67,2,49,1,3,personal auto,personal l2,offer2,web,two-door car,medsize
4037,west region,22110,no,basic,bachelor,feb,employed,f,65724,rural,single,70,13,66,0,2,personal auto,personal l3,offer2,agent,four-door car,medsize
4038,central,3731,no,extended,high school or below,feb,unemployed,f,85007,suburban,married,96,31,34,0,1,corporate auto,corporate l3,offer1,agent,four-door car,large
4039,north west,4058,no,basic,bachelor,feb,unemployed,m,66807,suburban,single,117,13,69,0,1,personal auto,personal l1,offer3,web,sports car,medsize
4040,north west,5096,yes,basic,master,jan,disabled,f,22886,suburban,divorced,65,9,81,0,3,special auto,special l1,offer1,agent,four-door car,small
4041,west region,2548,no,basic,bachelor,jan,employed,m,47346,suburban,married,65,6,35,0,1,personal auto,personal l3,offer2,call center,four-door car,small
4042,west region,2538,no,basic,bachelor,feb,employed,m,99824,suburban,married,63,1,56,0,1,special auto,special l2,offer1,agent,four-door car,medsize
4043,west region,11875,no,basic,high school or below,jan,unemployed,m,33986,suburban,married,108,23,55,0,2,personal auto,personal l2,offer2,branch,suv,medsize
4044,north west,3336,no,extended,high school or below,jan,disabled,m,19447,suburban,married,89,6,6,0,1,corporate auto,corporate l3,offer2,call center,four-door car,medsize
4045,central,9863,no,extended,master,feb,employed,f,99654,rural,married,121,28,95,0,3,personal auto,personal l3,offer3,call center,suv,medsize
4046,north west,2506,no,basic,master,feb,medical leave,f,17193,suburban,divorced,66,4,3,0,1,corporate auto,corporate l3,offer1,web,four-door car,medsize
4047,west region,3286,no,extended,high school or below,feb,employed,m,30706,urban,married,84,6,34,0,1,personal auto,personal l2,offer2,agent,four-door car,medsize
4048,west region,2862,no,basic,college,jan,employed,m,74034,urban,divorced,72,20,64,0,1,personal auto,personal l3,offer2,branch,four-door car,medsize
4049,west region,5392,no,basic,high school or below,jan,employed,f,80550,urban,married,68,16,67,3,7,personal auto,personal l3,offer1,branch,four-door car,medsize
4050,central,4582,no,basic,college,feb,medical leave,m,19065,suburban,married,61,4,29,2,7,personal auto,personal l2,offer4,call center,two-door car,medsize
4051,central,10978,yes,extended,bachelor,feb,employed,f,92914,suburban,married,136,24,55,0,8,personal auto,personal l1,offer1,agent,sports car,large
4052,central,4538,no,basic,bachelor,feb,employed,m,82297,rural,single,116,5,62,0,1,personal auto,personal l3,offer1,call center,sports car,medsize
4053,north west,2415,no,basic,college,feb,employed,f,40903,suburban,married,61,12,5,0,1,corporate auto,corporate l3,offer2,call center,four-door car,small
4054,north west,11628,no,extended,bachelor,feb,employed,f,97830,urban,married,96,3,61,0,2,personal auto,personal l3,offer1,agent,four-door car,small
4055,west region,18611,no,extended,master,jan,employed,f,49673,urban,married,232,27,57,0,7,personal auto,personal l3,offer2,web,luxury suv,medsize
4056,east,11255,no,extended,bachelor,feb,employed,f,88858,urban,married,93,2,60,0,2,personal auto,personal l2,offer2,agent,four-door car,small
4057,east,4974,yes,basic,bachelor,jan,employed,m,75644,suburban,divorced,65,5,68,3,9,corporate auto,corporate l3,offer2,branch,two-door car,medsize
4058,west region,6992,no,extended,college,feb,employed,f,94652,suburban,married,86,18,88,0,3,personal auto,personal l3,offer1,branch,four-door car,medsize
4059,north west,3451,no,basic,college,jan,unemployed,f,21150,suburban,divorced,104,19,65,2,1,personal auto,personal l1,offer1,branch,suv,small
4060,west region,14627,no,extended,college,feb,employed,f,40711,suburban,married,121,12,38,0,2,personal auto,personal l3,offer3,web,suv,medsize
4061,north west,5168,no,basic,high school or below,jan,employed,f,81182,suburban,single,64,3,45,0,8,corporate auto,corporate l2,offer2,branch,four-door car,small
4062,central,8203,no,basic,high school or below,jan,employed,m,38595,suburban,divorced,74,5,42,3,2,personal auto,personal l3,offer1,branch,four-door car,medsize
4063,west region,8915,no,extended,bachelor,jan,employed,f,31991,suburban,single,81,15,22,3,2,personal auto,personal l2,offer2,agent,four-door car,small
4064,central,2813,no,basic,doctor,jan,employed,f,50397,suburban,married,70,34,77,0,1,corporate auto,corporate l1,offer2,web,four-door car,small
4065,north west,11925,no,basic,high school or below,jan,employed,m,28014,suburban,single,104,14,37,0,2,personal auto,personal l2,offer4,branch,suv,small
4066,west region,4126,no,premium,college,feb,employed,m,34080,rural,married,107,11,48,1,1,personal auto,personal l3,offer4,branch,four-door car,medsize
4067,north west,15417,no,extended,college,feb,employed,f,84376,rural,married,96,5,54,0,2,personal auto,personal l3,offer4,branch,four-door car,medsize
4068,north west,15114,yes,basic,high school or below,jan,medical leave,f,28513,suburban,married,100,4,22,1,2,personal auto,personal l2,offer2,call center,suv,medsize
4069,north west,9191,no,basic,high school or below,jan,employed,m,77603,suburban,married,114,10,83,0,8,personal auto,personal l1,offer2,call center,suv,medsize
4070,east,12200,no,basic,college,feb,employed,f,60282,rural,married,102,23,87,0,2,corporate auto,corporate l3,offer1,agent,suv,large
4071,central,4636,yes,basic,college,jan,retired,m,26802,suburban,married,66,7,43,1,5,personal auto,personal l3,offer2,agent,two-door car,medsize
4072,west region,2790,no,basic,college,jan,employed,m,28786,suburban,married,71,30,69,1,1,personal auto,personal l3,offer1,agent,four-door car,medsize
4073,central,7126,no,basic,college,feb,medical leave,m,17483,suburban,married,183,24,63,0,1,personal auto,personal l1,offer2,web,luxury car,large
4074,central,11834,no,extended,bachelor,feb,unemployed,f,70842,suburban,single,85,12,37,0,2,personal auto,personal l2,offer2,agent,four-door car,medsize
4075,central,4983,no,basic,bachelor,feb,employed,m,28726,suburban,divorced,65,13,88,0,3,personal auto,personal l1,offer1,agent,four-door car,small
4076,east,2414,no,basic,bachelor,feb,employed,m,79271,urban,married,62,24,63,4,1,personal auto,personal l3,offer2,agent,four-door car,medsize
4077,west region,7611,no,premium,high school or below,jan,unemployed,f,31156,suburban,single,103,33,54,0,3,special auto,special l2,offer1,agent,four-door car,medsize
4078,west region,7868,no,basic,bachelor,jan,unemployed,f,42427,suburban,married,107,28,14,0,7,personal auto,personal l3,offer1,agent,suv,small
4079,west region,14031,no,premium,bachelor,feb,employed,f,91061,suburban,married,116,22,95,0,2,personal auto,personal l2,offer1,agent,four-door car,medsize
4080,central,5801,no,basic,master,feb,employed,f,48927,rural,divorced,72,1,51,0,9,personal auto,personal l2,offer1,agent,four-door car,medsize
4081,central,9408,no,extended,bachelor,jan,unemployed,f,17040,suburban,single,85,11,27,0,2,corporate auto,corporate l2,offer1,agent,four-door car,medsize
4082,north west,8396,no,basic,master,feb,unemployed,f,39534,suburban,married,115,18,80,1,3,personal auto,personal l2,offer3,web,suv,medsize
4083,west region,6066,no,extended,college,feb,employed,m,32627,suburban,married,76,11,60,0,7,personal auto,personal l2,offer1,agent,two-door car,small
4084,north west,7897,no,basic,high school or below,jan,unemployed,f,52644,suburban,single,72,8,54,0,2,personal auto,personal l2,offer1,agent,four-door car,large
4085,central,11130,no,extended,bachelor,jan,employed,f,42928,suburban,married,93,16,65,2,2,personal auto,personal l3,offer1,call center,four-door car,large
4086,north west,8937,no,extended,high school or below,jan,unemployed,m,65696,suburban,married,126,16,69,0,8,personal auto,personal l2,offer1,branch,suv,small
4087,north west,3903,no,extended,high school or below,feb,employed,m,51833,rural,divorced,99,1,18,0,1,personal auto,personal l3,offer3,agent,four-door car,medsize
4088,west region,8496,no,basic,high school or below,feb,employed,f,44624,rural,married,71,10,79,1,2,special auto,special l3,offer4,web,four-door car,medsize
4089,central,4472,no,basic,doctor,jan,employed,f,53519,urban,married,111,7,37,0,1,corporate auto,corporate l2,offer4,call center,suv,medsize
4090,north west,8231,no,basic,college,jan,unemployed,f,19966,urban,divorced,113,4,70,0,4,personal auto,personal l3,offer1,web,suv,medsize
4091,north west,2665,no,basic,bachelor,jan,employed,f,81538,urban,divorced,66,3,46,0,1,personal auto,personal l1,offer4,call center,four-door car,small
4092,central,7751,no,basic,college,feb,unemployed,f,64135,suburban,single,105,14,21,0,7,personal auto,personal l3,offer2,agent,suv,large
4093,central,10196,no,basic,high school or below,jan,unemployed,m,52758,suburban,single,100,9,75,0,2,corporate auto,corporate l3,offer4,web,suv,medsize
4094,north west,2360,no,basic,high school or below,jan,unemployed,f,37281,suburban,single,65,14,5,0,1,corporate auto,corporate l3,offer1,web,four-door car,small
4095,west region,2642,no,basic,college,jan,employed,m,58729,rural,married,68,2,67,2,1,corporate auto,corporate l3,offer1,web,four-door car,medsize
4096,west region,2378,no,basic,bachelor,jan,employed,m,54753,suburban,single,61,5,99,0,1,personal auto,personal l2,offer1,agent,four-door car,medsize
4097,west region,3980,no,extended,high school or below,jan,employed,m,98333,urban,married,99,16,69,1,1,personal auto,personal l3,offer1,branch,suv,large
4098,north west,13995,no,extended,high school or below,feb,employed,f,48245,suburban,married,121,16,21,3,2,personal auto,personal l3,offer1,agent,suv,medsize
4099,central,7268,no,extended,master,feb,employed,f,38179,urban,married,90,12,91,1,3,personal auto,personal l1,offer1,call center,four-door car,medsize
4100,central,6486,no,extended,high school or below,feb,employed,f,87210,urban,single,81,3,26,0,9,personal auto,personal l2,offer3,call center,four-door car,medsize
4101,north west,6459,no,extended,high school or below,jan,employed,m,23235,suburban,married,82,24,46,0,3,personal auto,personal l3,offer2,call center,four-door car,large
4102,west region,8193,no,basic,college,jan,medical leave,f,12780,rural,married,111,17,53,2,6,personal auto,personal l1,offer2,call center,sports car,medsize
4103,central,2352,no,basic,college,jan,unemployed,f,26157,suburban,divorced,64,4,61,0,1,corporate auto,corporate l2,offer1,branch,four-door car,medsize
4104,north west,2676,no,basic,high school or below,feb,employed,f,54480,suburban,married,67,19,91,0,1,personal auto,personal l1,offer2,branch,four-door car,small
4105,north west,5142,no,extended,bachelor,jan,employed,f,35666,rural,divorced,131,12,76,0,1,personal auto,personal l2,offer2,call center,suv,small
4106,west region,4877,no,basic,high school or below,jan,disabled,m,20178,suburban,divorced,69,26,52,2,6,corporate auto,corporate l3,offer1,branch,four-door car,medsize
4107,east,24636,no,basic,high school or below,jan,employed,m,73716,rural,married,103,2,91,0,2,special auto,special l2,offer1,call center,sports car,medsize
4108,north west,13158,no,basic,bachelor,jan,employed,f,72845,urban,married,108,13,28,0,2,personal auto,personal l2,offer1,call center,suv,small
4109,west region,5509,no,basic,bachelor,feb,employed,m,34236,suburban,married,70,3,87,0,8,corporate auto,corporate l2,offer1,agent,four-door car,small
4110,north west,3118,no,extended,college,feb,employed,f,88782,urban,divorced,78,6,38,0,1,personal auto,personal l3,offer4,web,four-door car,large
4111,west region,2195,no,basic,high school or below,jan,unemployed,f,88776,suburban,single,63,27,47,0,1,corporate auto,corporate l3,offer2,branch,two-door car,small
4112,west region,4419,no,basic,master,jan,unemployed,f,87950,suburban,married,112,16,12,0,1,personal auto,personal l3,offer1,agent,suv,medsize
4113,west region,19337,no,extended,college,feb,employed,m,26488,suburban,divorced,247,21,39,0,7,personal auto,personal l2,offer1,web,luxury suv,medsize
4114,north west,56675,no,premium,college,jan,employed,f,77237,suburban,married,283,33,93,0,2,personal auto,personal l1,offer4,web,luxury suv,medsize
4115,north west,9774,no,extended,high school or below,feb,employed,m,96018,urban,married,122,8,60,0,3,personal auto,personal l3,offer2,web,suv,medsize
4116,north west,6126,no,extended,high school or below,jan,employed,m,61139,suburban,married,76,4,16,0,4,personal auto,personal l2,offer2,web,four-door car,medsize
4117,north west,3293,no,extended,college,feb,unemployed,f,13513,suburban,single,94,3,40,0,1,corporate auto,corporate l1,offer3,call center,four-door car,large
4118,west region,8434,no,basic,bachelor,feb,employed,m,44216,rural,married,71,12,36,4,2,personal auto,personal l2,offer1,agent,four-door car,large
4119,north west,12944,no,basic,bachelor,feb,unemployed,m,32952,suburban,single,191,27,49,0,3,personal auto,personal l3,offer1,agent,luxury car,medsize
4120,west region,8420,no,basic,college,feb,disabled,m,28617,suburban,married,112,20,57,0,9,personal auto,personal l2,offer3,agent,suv,medsize
4121,west region,7634,no,premium,high school or below,jan,unemployed,f,55213,suburban,single,106,9,64,0,3,corporate auto,corporate l3,offer1,branch,four-door car,medsize
4122,east,13223,no,extended,bachelor,feb,employed,m,37534,suburban,married,84,2,0,2,2,personal auto,personal l3,offer3,branch,four-door car,medsize
4123,west region,9080,no,basic,high school or below,feb,employed,m,69853,rural,married,114,15,42,2,3,personal auto,personal l1,offer1,call center,suv,medsize
4124,west region,4879,no,basic,master,jan,employed,f,67163,rural,married,61,17,41,2,5,personal auto,personal l1,offer1,call center,two-door car,small
4125,north west,6707,no,basic,bachelor,feb,unemployed,m,57988,suburban,divorced,65,1,30,0,2,personal auto,personal l2,offer4,agent,four-door car,medsize
4126,west region,27069,no,extended,bachelor,jan,employed,f,22955,suburban,single,92,6,23,3,2,personal auto,personal l3,offer3,branch,four-door car,small
4127,central,3589,no,extended,college,jan,employed,m,79298,urban,married,90,22,2,0,1,personal auto,personal l1,offer2,call center,four-door car,medsize
4128,central,7555,no,premium,college,feb,unemployed,m,41841,suburban,single,114,16,50,0,3,personal auto,personal l3,offer1,branch,four-door car,medsize
4129,east,2891,no,basic,master,jan,employed,m,21979,suburban,married,73,7,86,0,1,personal auto,personal l3,offer2,branch,two-door car,small
4130,central,5674,no,basic,college,jan,unemployed,m,56447,suburban,married,62,13,6,5,2,personal auto,personal l3,offer1,agent,four-door car,medsize
4131,west region,3573,no,basic,bachelor,jan,unemployed,f,30703,suburban,single,109,25,21,1,1,personal auto,personal l3,offer1,call center,suv,medsize
4132,west region,3358,no,extended,bachelor,jan,employed,f,59367,rural,married,84,6,48,0,1,personal auto,personal l3,offer2,agent,four-door car,medsize
4133,north west,3939,yes,extended,bachelor,jan,employed,f,60021,suburban,married,99,12,28,0,1,corporate auto,corporate l2,offer2,agent,four-door car,small
4134,west region,9445,no,extended,bachelor,jan,employed,f,93246,rural,married,78,31,24,0,2,personal auto,personal l3,offer4,branch,two-door car,medsize
4135,west region,6862,no,extended,high school or below,feb,employed,f,54780,rural,married,88,22,72,3,5,personal auto,personal l3,offer1,agent,four-door car,large
4136,west region,5078,no,basic,bachelor,jan,employed,m,35289,rural,married,65,34,94,0,3,personal auto,personal l1,offer4,web,four-door car,medsize
4137,central,4869,no,extended,college,jan,medical leave,m,23811,suburban,divorced,130,20,8,0,1,personal auto,personal l3,offer1,web,suv,large
4138,west region,5243,no,basic,master,jan,employed,f,44851,suburban,divorced,66,28,51,0,3,corporate auto,corporate l2,offer3,web,four-door car,medsize
4139,west region,2538,yes,basic,bachelor,feb,retired,m,18608,suburban,divorced,71,13,24,0,1,corporate auto,corporate l3,offer2,web,four-door car,medsize
4140,west region,19237,no,basic,bachelor,feb,unemployed,m,75413,suburban,single,196,31,78,0,2,corporate auto,corporate l1,offer2,call center,luxury car,medsize
4141,east,9657,yes,extended,high school or below,jan,unemployed,m,38073,suburban,married,131,34,61,0,9,corporate auto,corporate l1,offer1,agent,suv,medsize
4142,east,3974,no,basic,bachelor,jan,unemployed,m,16048,suburban,single,117,9,78,0,1,personal auto,personal l3,offer2,agent,suv,medsize
4143,central,4139,no,basic,doctor,feb,employed,f,45281,rural,married,104,13,84,1,1,personal auto,personal l2,offer1,branch,sports car,medsize
4144,central,6778,no,extended,high school or below,feb,unemployed,m,79107,suburban,single,96,2,84,0,9,personal auto,personal l3,offer2,agent,four-door car,small
4145,west region,4698,no,extended,high school or below,jan,medical leave,f,26411,suburban,married,126,25,9,1,1,corporate auto,corporate l3,offer3,agent,suv,medsize
4146,north west,2703,no,basic,high school or below,jan,unemployed,m,42781,suburban,married,71,6,46,0,1,personal auto,personal l3,offer2,agent,two-door car,small
4147,west region,8730,no,basic,high school or below,feb,employed,m,43259,suburban,married,73,12,18,0,2,personal auto,personal l2,offer1,branch,four-door car,medsize
4148,west region,4547,no,basic,college,feb,unemployed,m,91012,suburban,single,67,26,4,0,3,personal auto,personal l1,offer1,call center,two-door car,medsize
4149,west region,5479,yes,basic,master,jan,employed,m,56005,suburban,married,68,31,30,1,3,corporate auto,corporate l2,offer1,branch,four-door car,small
4150,west region,2503,no,basic,bachelor,feb,employed,f,47285,suburban,married,63,7,3,0,1,personal auto,personal l3,offer4,call center,four-door car,medsize
4151,central,4013,no,extended,doctor,feb,employed,f,93284,suburban,married,99,7,26,0,1,personal auto,personal l3,offer3,web,two-door car,medsize
4152,east,4112,no,basic,high school or below,jan,unemployed,m,58588,suburban,single,71,16,90,3,9,personal auto,personal l2,offer1,agent,four-door car,medsize
4153,central,10970,no,extended,college,feb,employed,f,38873,suburban,married,92,6,33,0,2,personal auto,personal l2,offer2,branch,four-door car,medsize
4154,west region,7783,no,basic,master,jan,employed,f,48689,suburban,married,191,15,18,0,1,personal auto,personal l3,offer1,call center,luxury car,medsize
4155,central,2725,yes,basic,master,jan,employed,f,36650,rural,married,69,2,70,1,1,personal auto,personal l1,offer2,web,four-door car,large
4156,central,5427,no,basic,college,feb,medical leave,f,27677,suburban,married,72,10,82,1,3,personal auto,personal l3,offer2,agent,four-door car,medsize
4157,north west,4688,no,basic,bachelor,jan,disabled,f,27357,suburban,married,61,19,48,0,5,corporate auto,corporate l2,offer1,web,four-door car,small
4158,north west,3517,no,extended,college,jan,employed,m,51814,rural,single,92,23,89,0,1,personal auto,personal l2,offer3,agent,four-door car,medsize
4159,central,8044,yes,basic,bachelor,feb,employed,m,71391,urban,married,67,29,39,0,2,personal auto,personal l3,offer2,agent,four-door car,medsize
4160,north west,5097,no,basic,bachelor,feb,employed,m,67233,urban,married,63,10,26,0,3,personal auto,personal l3,offer3,call center,two-door car,medsize
4161,west region,10861,no,extended,master,jan,employed,f,65727,urban,married,134,14,15,0,6,corporate auto,corporate l2,offer1,agent,suv,medsize
4162,north west,5520,no,basic,bachelor,jan,employed,m,94676,suburban,divorced,69,27,14,0,3,corporate auto,corporate l3,offer2,agent,four-door car,medsize
4163,east,4240,no,premium,college,feb,employed,m,49746,suburban,married,111,4,85,3,1,corporate auto,corporate l2,offer1,agent,four-door car,medsize
4164,west region,2499,no,basic,high school or below,jan,employed,f,72021,rural,married,62,26,13,0,1,corporate auto,corporate l1,offer2,agent,two-door car,medsize
4165,west region,7653,no,basic,college,jan,employed,f,57446,rural,divorced,64,20,30,0,2,personal auto,personal l3,offer1,agent,four-door car,medsize
4166,north west,13561,no,extended,doctor,jan,unemployed,m,67975,suburban,married,122,9,48,0,2,special auto,special l2,offer1,agent,sports car,medsize
4167,north west,6104,no,extended,college,jan,employed,m,84822,urban,married,76,5,13,0,5,corporate auto,corporate l3,offer1,agent,four-door car,medsize
4168,north west,9472,no,extended,bachelor,jan,unemployed,f,53767,suburban,married,86,30,32,0,2,personal auto,personal l3,offer1,call center,four-door car,medsize
4169,central,14517,no,premium,high school or below,jan,employed,f,74871,suburban,married,178,0,15,0,7,personal auto,personal l3,offer1,call center,suv,medsize
4170,north west,18634,no,extended,college,feb,unemployed,m,65807,suburban,single,139,16,33,0,2,corporate auto,corporate l3,offer1,call center,suv,medsize
4171,west region,8697,no,premium,bachelor,jan,employed,m,26287,rural,married,111,6,11,0,8,personal auto,personal l2,offer2,branch,two-door car,medsize
4172,north west,5528,yes,basic,bachelor,jan,employed,m,36088,suburban,single,72,16,31,0,9,personal auto,personal l3,offer1,agent,suv,large
4173,north west,12779,no,basic,college,jan,unemployed,m,21460,suburban,single,184,0,94,0,9,personal auto,personal l3,offer2,agent,luxury suv,medsize
4174,west region,4762,no,basic,high school or below,jan,employed,m,57135,urban,divorced,61,25,47,0,8,corporate auto,corporate l3,offer2,branch,four-door car,medsize
4175,central,8123,no,extended,bachelor,feb,unemployed,f,73371,suburban,single,78,15,47,0,2,special auto,special l1,offer3,web,four-door car,small
4176,west region,37243,no,basic,high school or below,feb,employed,f,53602,urban,married,115,15,60,0,2,personal auto,personal l1,offer1,web,sports car,medsize
4177,west region,7725,no,extended,bachelor,feb,employed,m,96748,suburban,married,96,13,68,0,9,personal auto,personal l3,offer2,branch,two-door car,medsize
4178,east,7602,no,basic,high school or below,feb,unemployed,f,67087,suburban,single,105,4,84,2,5,personal auto,personal l3,offer2,web,suv,small
4179,central,13118,no,premium,college,feb,medical leave,f,11854,suburban,married,113,19,64,0,2,personal auto,personal l1,offer1,call center,four-door car,medsize
4180,west region,2612,no,basic,college,jan,employed,m,37073,suburban,married,66,16,35,0,1,personal auto,personal l3,offer2,branch,four-door car,medsize
4181,west region,5633,no,basic,doctor,feb,employed,m,65255,urban,divorced,72,3,65,2,3,personal auto,personal l3,offer1,agent,four-door car,small
4182,west region,4975,no,extended,master,jan,employed,f,44723,urban,married,124,26,3,0,1,personal auto,personal l2,offer1,call center,four-door car,medsize
4183,north west,4803,no,basic,high school or below,feb,disabled,f,23634,suburban,married,62,4,25,0,9,personal auto,personal l3,offer1,branch,two-door car,small
